ad1_spend_monthly,ad1_conv_rate,ad2_spend_monthly,ad2_conv_rate,ad3_spend_monthly,ad3_conv_rate,monthly_pricing_plan,monthly_active_users,annual_revenue,revenue_category
5768.019991648907,0.05983287684785428,1857.385401294765,0.04343871216076549,3425.6142821677317,0.18567191856537366,32.83988727491368,46477,3470.252217568248,Low
3477.925807314169,0.19886257318502892,6456.32205478532,0.055671612777696285,1561.915051670706,0.21213625463968566,93.13103654113027,39541,17090.03934170941,Low
1941.8090014020136,0.0853419934096379,4953.3897324081645,0.28043522365197365,2468.362422457315,0.2969175240799243,11.572886997691912,61590,25052.176270957127,High
7395.095960495356,0.18938867656638733,6918.595816166387,0.2899811107828976,3299.3838638823217,0.12055264947308336,21.67309652449434,51232,3075.23515933158,Low
8938.314641679659,0.18445743851401197,6895.7640490455315,0.19815890656570595,7498.144309706217,0.11081128436392546,80.5334607960485,30527,19475.074154183243,High
1499.0435444098307,0.07070947807212154,9573.386889356232,0.09494795278899783,8680.124901162511,0.06122148907618257,54.43200802497336,97239,32719.83175467384,High
7117.401611149677,0.20674486732661862,8718.865147187893,0.16811015580347677,7251.292126190846,0.20719144903727163,68.64691464285684,85131,40170.69927064348,High
4499.69956541427,0.2485231319151526,8891.200965593918,0.2977362782611904,9950.495444028827,0.15551183356013254,92.96697854575723,96537,20366.42736821736,High
8738.96596744162,0.20405887793885263,6962.092499363686,0.13806895162539,2636.1411294153445,0.012572483770963788,43.29834113693986,64559,20071.361551384172,High
3157.98489849414,0.12195164546461544,7903.661512573381,0.16088716715269796,1396.4764224061073,0.011664177895777773,59.54818077176298,88732,11769.811114593807,Low
6779.401788397705,0.24641846996578776,4661.2155168688605,0.2533886117393064,9247.790699796264,0.1785005104275994,43.53893419959603,2245,19665.08253670352,High
7277.803478418375,0.08641088228613644,3723.984123156189,0.2793687652129541,2291.229873005993,0.19134201888704197,28.192297154498952,68955,8500.324270686111,Low
7449.49899966109,0.14307541561021414,4426.154467486963,0.19445909724755495,1343.6945271775232,0.06777386217363318,15.172662129681402,92006,26224.88873640787,High
3313.427952506472,0.25401799300426237,6939.461729315067,0.26110991508489984,5007.839024199423,0.10050202118659195,65.5488630957244,39973,15176.213390466537,Low
5772.769236556768,0.17526917235769715,9277.056033974393,0.16128312948106766,8964.178261043538,0.23373287721328273,58.91178447649302,84201,10091.698699504883,Low
8019.500019590421,0.12043950686364938,4911.563644514278,0.025249543925488845,7568.538819390339,0.26050559496565295,43.6442654810559,52767,7986.94807101916,Low
7895.198176976378,0.123175631459706,2665.960958218839,0.1445439397812399,4503.160007920128,0.20214316643190489,56.85472697070948,83583,21722.95465502822,High
4354.196794305064,0.22140210072516578,2032.4775442992996,0.26190666503798016,7888.357168000601,0.18429844424866368,79.38352418294153,16690,40654.5488760389,High
2118.5416711683624,0.07175686697014973,1170.255189341247,0.20627450194852698,8808.948986130385,0.1339425148888479,69.03816642549968,86422,29698.59785446561,High
7936.62985652145,0.22531447059249726,2048.6351211175115,0.10801517762190893,3487.091537300599,0.22377746978879276,58.4679940364395,51020,19885.433626126716,High
1346.4120629542606,0.1430486556466601,6610.822446904927,0.2958903515785291,8878.30449356437,0.28009999439284483,28.084699599680985,94495,21060.685164836614,High
